,timestamp,customer_no,location,day,day_id
0,2019-09-06 07:00:00,1,dairy,friday,1-fri
1,2019-09-06 07:01:00,1,dairy,friday,1-fri
2,2019-09-06 07:02:00,1,dairy,friday,1-fri
3,2019-09-06 07:03:00,1,dairy,friday,1-fri
4,2019-09-06 07:04:00,1,spices,friday,1-fri
5,2019-09-06 07:05:00,1,checkout,friday,1-fri
6,2019-09-02 07:03:00,1,dairy,monday,1-mon
7,2019-09-02 07:04:00,1,dairy,monday,1-mon
8,2019-09-02 07:05:00,1,checkout,monday,1-mon
9,2019-09-05 07:00:00,1,drinks,thursday,1-thu
10,2019-09-05 07:01:00,1,drinks,thursday,1-thu
11,2019-09-05 07:02:00,1,checkout,thursday,1-thu
12,2019-09-03 07:02:00,1,fruit,tuesday,1-tue
13,2019-09-03 07:03:00,1,fruit,tuesday,1-tue
14,2019-09-03 07:04:00,1,fruit,tuesday,1-tue
15,2019-09-03 07:05:00,1,drinks,tuesday,1-tue
16,2019-09-03 07:06:00,1,drinks,tuesday,1-tue
17,2019-09-03 07:07:00,1,drinks,tuesday,1-tue
18,2019-09-03 07:08:00,1,drinks,tuesday,1-tue
19,2019-09-03 07:09:00,1,drinks,tuesday,1-tue
20,2019-09-03 07:10:00,1,drinks,tuesday,1-tue
21,2019-09-03 07:11:00,1,drinks,tuesday,1-tue
22,2019-09-03 07:12:00,1,checkout,tuesday,1-tue
23,2019-09-04 07:00:00,1,fruit,wednesday,1-wed
24,2019-09-04 07:01:00,1,fruit,wednesday,1-wed
25,2019-09-04 07:02:00,1,checkout,wednesday,1-wed
26,2019-09-06 07:06:00,10,fruit,friday,10-fri
27,2019-09-06 07:07:00,10,fruit,friday,10-fri
28,2019-09-06 07:08:00,10,fruit,friday,10-fri
29,2019-09-06 07:09:00,10,fruit,friday,10-fri
30,2019-09-06 07:10:00,10,fruit,friday,10-fri
31,2019-09-06 07:11:00,10,checkout,friday,10-fri
32,2019-09-02 07:06:00,10,fruit,monday,10-mon
33,2019-09-02 07:07:00,10,fruit,monday,10-mon
34,2019-09-02 07:08:00,10,checkout,monday,10-mon
35,2019-09-05 07:07:00,10,spices,thursday,10-thu
36,2019-09-05 07:08:00,10,spices,thursday,10-thu
37,2019-09-05 07:09:00,10,checkout,thursday,10-thu
38,2019-09-03 07:10:00,10,fruit,tuesday,10-tue
39,2019-09-03 07:11:00,10,fruit,tuesday,10-tue
40,2019-09-03 07:12:00,10,fruit,tuesday,10-tue
41,2019-09-03 07:13:00,10,fruit,tuesday,10-tue
42,2019-09-03 07:14:00,10,checkout,tuesday,10-tue
43,2019-09-04 07:03:00,10,dairy,wednesday,10-wed
44,2019-09-04 07:04:00,10,dairy,wednesday,10-wed
45,2019-09-04 07:05:00,10,dairy,wednesday,10-wed
46,2019-09-04 07:06:00,10,checkout,wednesday,10-wed
47,2019-09-06 08:03:00,100,fruit,friday,100-fri
48,2019-09-06 08:04:00,100,checkout,friday,100-fri
49,2019-09-02 07:56:00,100,drinks,monday,100-mon
50,2019-09-02 07:57:00,100,drinks,monday,100-mon
51,2019-09-02 07:58:00,100,drinks,monday,100-mon
52,2019-09-02 07:59:00,100,drinks,monday,100-mon
53,2019-09-02 08:00:00,100,drinks,monday,100-mon
54,2019-09-02 08:01:00,100,drinks,monday,100-mon
55,2019-09-02 08:02:00,100,drinks,monday,100-mon
56,2019-09-02 08:03:00,100,checkout,monday,100-mon
57,2019-09-05 07:53:00,100,fruit,thursday,100-thu
58,2019-09-05 07:54:00,100,checkout,thursday,100-thu
59,2019-09-03 07:57:00,100,dairy,tuesday,100-tue
60,2019-09-03 07:58:00,100,checkout,tuesday,100-tue
61,2019-09-04 08:04:00,100,drinks,wednesday,100-wed
62,2019-09-04 08:05:00,100,drinks,wednesday,100-wed
63,2019-09-04 08:06:00,100,drinks,wednesday,100-wed
64,2019-09-04 08:07:00,100,checkout,wednesday,100-wed
65,2019-09-06 17:19:00,1000,fruit,friday,1000-fri
66,2019-09-06 17:20:00,1000,checkout,friday,1000-fri
67,2019-09-02 17:44:00,1000,dairy,monday,1000-mon
68,2019-09-02 17:45:00,1000,dairy,monday,1000-mon
69,2019-09-02 17:46:00,1000,dairy,monday,1000-mon
70,2019-09-02 17:47:00,1000,dairy,monday,1000-mon
71,2019-09-02 17:48:00,1000,dairy,monday,1000-mon
72,2019-09-02 17:49:00,1000,dairy,monday,1000-mon
73,2019-09-02 17:50:00,1000,drinks,monday,1000-mon
74,2019-09-02 17:51:00,1000,checkout,monday,1000-mon
75,2019-09-05 17:23:00,1000,spices,thursday,1000-thu
76,2019-09-05 17:24:00,1000,spices,thursday,1000-thu
77,2019-09-05 17:25:00,1000,spices,thursday,1000-thu
78,2019-09-05 17:26:00,1000,dairy,thursday,1000-thu
79,2019-09-05 17:27:00,1000,dairy,thursday,1000-thu
80,2019-09-05 17:28:00,1000,dairy,thursday,1000-thu
81,2019-09-05 17:29:00,1000,drinks,thursday,1000-thu
82,2019-09-05 17:30:00,1000,drinks,thursday,1000-thu
83,2019-09-05 17:31:00,1000,drinks,thursday,1000-thu
84,2019-09-05 17:32:00,1000,drinks,thursday,1000-thu
85,2019-09-05 17:33:00,1000,checkout,thursday,1000-thu
86,2019-09-03 17:53:00,1000,fruit,tuesday,1000-tue
87,2019-09-03 17:54:00,1000,dairy,tuesday,1000-tue
88,2019-09-03 17:55:00,1000,dairy,tuesday,1000-tue
89,2019-09-03 17:56:00,1000,dairy,tuesday,1000-tue
90,2019-09-03 17:57:00,1000,checkout,tuesday,1000-tue
91,2019-09-04 16:53:00,1000,spices,wednesday,1000-wed
92,2019-09-04 16:54:00,1000,dairy,wednesday,1000-wed
93,2019-09-04 16:55:00,1000,dairy,wednesday,1000-wed
94,2019-09-04 16:56:00,1000,dairy,wednesday,1000-wed
95,2019-09-04 16:57:00,1000,dairy,wednesday,1000-wed
96,2019-09-04 16:58:00,1000,dairy,wednesday,1000-wed
97,2019-09-04 16:59:00,1000,dairy,wednesday,1000-wed
98,2019-09-04 17:00:00,1000,dairy,wednesday,1000-wed
99,2019-09-04 17:01:00,1000,dairy,wednesday,1000-wed
100,2019-09-04 17:02:00,1000,dairy,wednesday,1000-wed
101,2019-09-04 17:03:00,1000,spices,wednesday,1000-wed
102,2019-09-04 17:04:00,1000,spices,wednesday,1000-wed
103,2019-09-04 17:05:00,1000,spices,wednesday,1000-wed
104,2019-09-04 17:06:00,1000,checkout,wednesday,1000-wed
105,2019-09-06 17:19:00,1001,fruit,friday,1001-fri
106,2019-09-06 17:20:00,1001,fruit,friday,1001-fri
107,2019-09-06 17:21:00,1001,drinks,friday,1001-fri
108,2019-09-06 17:22:00,1001,drinks,friday,1001-fri
109,2019-09-06 17:23:00,1001,spices,friday,1001-fri
110,2019-09-06 17:24:00,1001,drinks,friday,1001-fri
111,2019-09-06 17:25:00,1001,drinks,friday,1001-fri
112,2019-09-06 17:26:00,1001,drinks,friday,1001-fri
113,2019-09-06 17:27:00,1001,fruit,friday,1001-fri
114,2019-09-06 17:28:00,1001,fruit,friday,1001-fri
115,2019-09-06 17:29:00,1001,checkout,friday,1001-fri
116,2019-09-02 17:45:00,1001,fruit,monday,1001-mon
117,2019-09-02 17:46:00,1001,checkout,monday,1001-mon
118,2019-09-05 17:24:00,1001,dairy,thursday,1001-thu
119,2019-09-05 17:25:00,1001,dairy,thursday,1001-thu
120,2019-09-05 17:26:00,1001,dairy,thursday,1001-thu
121,2019-09-05 17:27:00,1001,fruit,thursday,1001-thu
122,2019-09-05 17:28:00,1001,fruit,thursday,1001-thu
123,2019-09-05 17:29:00,1001,fruit,thursday,1001-thu
124,2019-09-05 17:30:00,1001,dairy,thursday,1001-thu
125,2019-09-05 17:31:00,1001,dairy,thursday,1001-thu
126,2019-09-05 17:32:00,1001,dairy,thursday,1001-thu
127,2019-09-05 17:33:00,1001,dairy,thursday,1001-thu
128,2019-09-05 17:34:00,1001,dairy,thursday,1001-thu
129,2019-09-05 17:35:00,1001,dairy,thursday,1001-thu
130,2019-09-05 17:36:00,1001,dairy,thursday,1001-thu
131,2019-09-05 17:37:00,1001,dairy,thursday,1001-thu
132,2019-09-05 17:38:00,1001,dairy,thursday,1001-thu
133,2019-09-05 17:39:00,1001,dairy,thursday,1001-thu
134,2019-09-05 17:40:00,1001,dairy,thursday,1001-thu
135,2019-09-05 17:41:00,1001,drinks,thursday,1001-thu
136,2019-09-05 17:42:00,1001,fruit,thursday,1001-thu
137,2019-09-05 17:43:00,1001,fruit,thursday,1001-thu
138,2019-09-05 17:44:00,1001,fruit,thursday,1001-thu
139,2019-09-05 17:45:00,1001,fruit,thursday,1001-thu
140,2019-09-05 17:46:00,1001,fruit,thursday,1001-thu
141,2019-09-05 17:47:00,1001,fruit,thursday,1001-thu
142,2019-09-05 17:48:00,1001,fruit,thursday,1001-thu
143,2019-09-05 17:49:00,1001,fruit,thursday,1001-thu
144,2019-09-05 17:50:00,1001,fruit,thursday,1001-thu
145,2019-09-05 17:51:00,1001,fruit,thursday,1001-thu
146,2019-09-05 17:52:00,1001,fruit,thursday,1001-thu
147,2019-09-05 17:53:00,1001,checkout,thursday,1001-thu
148,2019-09-03 17:53:00,1001,fruit,tuesday,1001-tue
149,2019-09-03 17:54:00,1001,dairy,tuesday,1001-tue
150,2019-09-03 17:55:00,1001,dairy,tuesday,1001-tue
151,2019-09-03 17:56:00,1001,dairy,tuesday,1001-tue
152,2019-09-03 17:57:00,1001,dairy,tuesday,1001-tue
153,2019-09-03 17:58:00,1001,dairy,tuesday,1001-tue
154,2019-09-03 17:59:00,1001,dairy,tuesday,1001-tue
155,2019-09-03 18:00:00,1001,dairy,tuesday,1001-tue
156,2019-09-03 18:01:00,1001,dairy,tuesday,1001-tue
157,2019-09-03 18:02:00,1001,dairy,tuesday,1001-tue
158,2019-09-03 18:03:00,1001,dairy,tuesday,1001-tue
